"protein_group","abundance_A_1","abundance_A_1.x","abundance_A_1.y","abundance_B_1","abundance_B_1.x","abundance_B_1.y","number_of_peptides_A_1","number_of_peptides_A_1.x","number_of_peptides_A_1.y","number_of_peptides_B_1","number_of_peptides_B_1.x","number_of_peptides_B_1.y","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"Biognosys|iRT-Kit_WR_fusion",-15.9826626636,-16.0196283524,-15.9515846412,-16.0566979152,-15.8180061154,-15.8350442455,63,56,59,68,63,57,0.755061919953596,0.907899397803755,-0.0813757936999995
"sp|P53396|ACLY_HUMAN",-19.4641066998,-19.6120218758,-19.562706697,-19.6461674445,-19.2122780369,-19.2802354407,67,50,59,64,62,60,0.569142401392111,0.842825607064018,-0.166718116833334
"sp|P53550|DCP2_YEAST",-24.727383684,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA
"sp|P53551|H1_YEAST",-21.8529926527,-22.8275030818,-21.8156100304,-23.1479641556,-21.9219378193,-22.9586251408,3,3,5,4,4,2,0.250538283062645,0.596786534047437,0.510807116933336
"sp|P53582|MAP11_HUMAN",-20.802970985,-22.1470889266,-20.7946246959,-21.2424809245,-21.0845300629,-21.3057923339,10,8,10,8,7,9,0.907255655452436,0.957885029203812,-0.0372937620666676
"sp|P53597|SUCA_HUMAN",-20.9938272846,-21.0561838537,-20.7411547377,-20.5638414925,-21.7977063409,-22.9058561273,11,6,9,7,4,6,0.125802784222738,0.435866983372922,0.825412694900002
"sp|P53598|SUCA_YEAST",-21.109582262,-21.8687935519,-21.7225122523,NA,-22.1595954651,-23.1391412569,6,4,6,1,5,4,0.0345494489559165,0.214659685863874,1.08240567226667
"sp|P53600|COPZ_YEAST",-20.5673918393,-20.809040932,-20.1811815562,NA,NA,NA,4,3,6,NA,NA,1,NA,NA,NA
"sp|P53602|MVD1_HUMAN",-21.3488346148,-22.2462960105,-23.5628043067,-21.4263631109,-21.885214247,-22.7901297217,7,7,5,4,6,7,0.483016386310905,0.800495049504951,-0.3520759508
"sp|P53618|COPB_HUMAN",-20.0755258537,-20.6186496127,-21.0037232398,-19.9020942053,-19.9655268076,-19.9774623929,37,32,35,38,38,43,0.111208961716937,0.406410256410256,-0.617605100133336
"sp|P53621|COPA_HUMAN",-20.5383177458,-20.9943452651,-21.2662108743,-21.2978851702,-20.7819616251,-21.0333438434,39,31,35,36,37,32,0.742257395591647,0.903825527350733,0.104772251166668
"sp|P53622|COPA_YEAST",-21.270789211,-20.8489070617,-21.1903730481,-22.1287280966,-21.7104533057,-21.871206547,28,22,21,15,19,14,0.0379957946635731,0.233250620347395,0.800106209500001
"sp|P53629|ARE2_YEAST",-24.5784646377,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA
"sp|P53633|PRA1_YEAST",-22.6073996142,-22.2480741652,-22.2411781772,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA
"sp|P53634|CATC_HUMAN",-20.7708941738,-21.2788544495,-20.5217004381,-20.8278956901,-20.6574180307,-20.5785983412,8,6,9,7,6,8,0.597157192575406,0.853003834682573,-0.1691789998
"sp|P53680|AP2S1_HUMAN",-21.2875288719,NA,-21.6220850098,-22.0498449253,NA,-21.763537425,3,2,3,1,2,2,0.200576276102088,0.541740674955595,0.451884234300003
"sp|P53691|PPID_YEAST",-21.380246583,-21.0618224075,-21.2629663627,-21.7358769639,-21.5832436672,-22.6671040567,15,9,11,10,6,8,0.0755555394431554,0.335483870967742,0.760396444866668
"sp|P53701|CCHL_HUMAN",-20.9667739503,-20.6671537083,-21.8357726788,-21.8139292572,-20.9070471369,-21.7406593077,5,7,6,3,7,6,0.418249854988399,0.75177304964539,0.33064512146667
"sp|P53723|YN8B_YEAST",-21.2087860775,-22.5634812898,-21.8757572938,-22.7582844495,NA,NA,7,3,6,4,2,1,NA,NA,NA
"sp|P53731|ARPC2_YEAST",-22.902565659,-22.6631180637,-21.4331049064,-22.9014972207,-22.8314254119,-22.66307381,3,3,4,2,3,3,0.273575261020882,0.631236442516269,0.465735937833333
"sp|P53738|TR112_YEAST",-21.5716019555,-21.5447767249,-20.9074974935,NA,-22.8695768257,NA,4,1,2,1,2,1,NA,NA,NA
"sp|P53741|BRE5_YEAST",-21.2083080334,-22.4723299399,-21.7414471397,NA,NA,NA,10,3,8,3,1,2,NA,NA,NA
"sp|P53834|HCH1_YEAST",-20.0530174853,-20.1181742352,-20.6119853724,-21.8840450361,NA,-21.9763419407,3,2,4,3,1,3,0.00261528422273782,0.0405405405405405,1.66913445743333
"sp|P53839|GOR1_YEAST",NA,-23.4848566667,-22.1888710552,NA,NA,NA,7,3,8,2,2,3,NA,NA,NA
"sp|P53844|PDR17_YEAST",NA,-23.2099984652,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"sp|P53845|YIF1_YEAST",NA,-22.6877970588,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"sp|P53849|GIS2_YEAST",-21.2453407662,-20.9418163167,-21.3551038967,-22.8710651511,-21.8199258694,-21.6493161077,6,4,4,3,4,2,0.0456772041763341,0.263858093126386,0.932682049533334
"sp|P53852|SYC_YEAST",-22.2403627652,-23.1016696505,-23.064755471,-23.4128965321,-23.1990725156,-23.8644034661,13,14,11,2,5,8,0.0991425464037123,0.388038942976356,0.689861542366668
"sp|P53860|PDR16_YEAST",-21.0648320045,-21.7037241999,-21.3169893488,-22.5133781377,-22.222409002,-24.0367999374,14,11,14,11,9,9,0.0136763341067285,0.130252100840336,1.56234717463333
"sp|P53868|ALG9_YEAST",-24.7205177141,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"sp|P53879|RHO5_YEAST",NA,-23.3964957071,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"sp|P53885|MDG1_YEAST",-23.0809225233,-21.9212663995,-23.857830236,NA,NA,NA,5,4,3,NA,1,2,NA,NA,NA
"sp|P53890|BNI5_YEAST",-23.7501098835,-23.6340713992,NA,-24.2625219773,NA,NA,3,4,1,1,NA,NA,NA,NA,NA
"sp|P53897|IGO1_YEAST",-22.6067801132,NA,NA,NA,NA,NA,3,3,1,1,1,1,NA,NA,NA
"sp|P53900|PFD4_YEAST",-21.1926422373,-21.7831212848,-20.9776128377,NA,NA,NA,2,1,2,1,NA,1,NA,NA,NA
"sp|P53903|PGA2_YEAST",-21.4449858343,-20.8871330733,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA
"sp|P53912|YNN4_YEAST",-20.4708122641,-20.0106851654,-19.8617678957,-21.4466704089,-20.8198254559,-21.7421806658,12,11,10,6,5,5,0.0152175174013921,0.132231404958678,1.22180373513333
"sp|P53914|NAT10_YEAST",NA,NA,NA,NA,-25.6139711586,NA,4,1,1,1,2,1,NA,NA,NA
"sp|P53920|NM111_YEAST",NA,-25.0615987753,-25.5103106116,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA
"sp|P53925|YNL5_YEAST",-23.4279058321,-23.0139274606,-23.7274948341,NA,NA,-23.9569552576,2,2,2,NA,2,3,NA,NA,NA
"sp|P53978|EF3B_YEAST",-24.9069909806,-24.5685339052,NA,NA,NA,-24.7228108466,1,1,23,1,1,1,NA,NA,NA
"sp|P53981|PYP1_YEAST",-20.130563945,-20.9300576737,-20.2875869272,-21.0099218379,-22.019552124,-21.70078998,8,6,6,4,6,4,0.0232597157772622,0.166666666666667,1.12735179866667
"sp|P53985|MOT1_HUMAN",-21.4963669953,-22.4120312886,-21.7109819669,-21.4060916027,-21.6914077279,-21.2763945786,4,3,4,4,5,5,0.263998839907193,0.61527057079318,-0.415162113866668
"sp|P53990|IST1_HUMAN",-21.8118922251,-21.6946385874,-21.2743640386,-21.6492034478,-21.8182565363,-21.2893025003,4,5,7,9,5,6,0.961023201856149,0.973203769140165,-0.00804412223333273
"sp|P53992|SC24C_HUMAN",-21.4494812161,-21.7241688958,-21.7281343004,-21.5006798881,-21.0646996416,-21.3832446246,19,12,13,17,18,20,0.315843242459397,0.670811518324607,-0.317720086000001
"sp|P53999|TCP4_HUMAN",-18.7094964674,-18.3474356024,-18.9333690575,-18.4608845739,-18.4958951378,-18.3975592784,15,15,10,17,13,18,0.492052349187935,0.806057645334636,-0.211987379066667
"sp|P54000|SUB1_YEAST",-23.1339806547,-23.1837477168,NA,NA,NA,NA,5,2,3,3,1,1,NA,NA,NA
"sp|P54105|ICLN_HUMAN",-19.3670766828,-19.4137018876,-19.8534799619,-19.5112546776,-19.1540099233,-20.0274127528,14,14,14,16,12,12,0.93671099187935,0.966966966966967,0.0194729404666667
"sp|P54113|PUR91_YEAST",-20.9252826267,-21.142541494,-20.4557955123,-21.2283646806,-21.5898050613,-21.4982926089,27,24,30,22,7,10,0.109227813225058,0.405194805194805,0.597614239266669
"sp|P54114|ALDH3_YEAST",-21.928564574,-21.5482939796,-22.1259555799,-23.1232258462,-24.0654121621,-21.9332655286,14,15,13,8,4,9,0.0404752030162413,0.251207729468599,1.17302980113333
"sp|P54115|ALDH6_YEAST",-18.936741437,-18.9512182184,-18.9626438388,-20.0006680889,-19.7531192136,-19.4019011039,42,36,34,31,32,30,0.0431184744779582,0.255813953488372,0.768361637400002
"sp|P54132|BLM_HUMAN",NA,NA,-24.0235923885,-25.4723071179,NA,NA,2,4,4,4,6,4,NA,NA,NA
"sp|P54136|SYRC_HUMAN",-19.8915805939,-20.4362388024,-19.9628982805,-20.5576716712,-19.8780314824,-19.5444157461,31,29,28,33,31,34,0.76155162412993,0.909250791417517,-0.103532925699998
"sp|P54198|HIRA_HUMAN",NA,NA,-24.8945432654,-24.9171890276,-23.8158714236,NA,1,2,4,3,6,1,NA,NA,NA
"sp|P54577|SYYC_HUMAN",-19.23251018,-19.3410284041,-18.9647505718,-19.3168543323,-18.9449725386,-18.9844691027,37,41,41,39,42,43,0.73546403712297,0.903353768481789,-0.0973310607666669
"sp|P54578|UBP14_HUMAN",-19.7214318799,-19.4046191065,-19.3637807604,-19.4177123461,-19.3636758561,-19.5447759823,24,29,30,32,28,26,0.837370794663573,0.943458251150559,-0.0545558540999984
"sp|P54619|AAKG1_HUMAN",-21.475780217,-21.8820375745,-22.9684614707,-22.2096445661,-21.3365764209,-21.8206848332,9,5,4,6,6,8,0.449726943155452,0.772633744855967,-0.319791147333333
"sp|P54687|BCAT1_HUMAN",-21.1285982791,-20.9729811253,-21.1696483711,-20.6684405403,-21.4638291665,-21.3472513825,9,10,9,12,13,13,0.821370214617169,0.935354881706098,0.0694311045999996
"sp|P54709|AT1B3_HUMAN",-20.3231623631,-21.1621444506,-20.8292111953,-20.1214827488,-22.6393505131,-21.1301832626,7,4,3,8,6,4,0.31910005800464,0.670811518324607,0.525499505166668
"sp|P54725|RD23A_HUMAN",-21.2905954815,-22.0601865533,-20.7980532788,-20.8122161947,-21.7254364288,-20.9207646456,8,4,5,5,5,4,0.5638593387471,0.842756183745583,-0.23013934816667
"sp|P54727|RD23B_HUMAN",-22.4228077105,-21.6519933262,-20.8136298551,-20.8531698339,-21.1728964862,-20.9132201198,16,10,12,17,13,14,0.153035092807425,0.462809917355372,-0.649714817299998
"sp|P54783|ALO_YEAST",-22.288673119,-22.0156891478,-22.0180028352,-22.4021512938,-22.9186338782,-22.7485462555,7,10,11,5,5,4,0.101051914153132,0.39251040221914,0.582322108499998
"sp|P54819|KAD2_HUMAN",-18.9295342069,-18.534605367,-18.7109984312,-18.6750918014,-18.4353176407,-18.4359256237,29,24,34,30,25,32,0.480964327146172,0.800099206349206,-0.209600979766666
"sp|P54837|TMEDA_YEAST",NA,NA,-22.3353702892,NA,NA,NA,4,4,5,4,0,3,NA,NA,NA
"sp|P54838|DAK1_YEAST",-20.2782299572,-20.2250990459,-19.9698080895,-21.0082471652,-20.5106766203,-20.8935244697,16,18,20,12,15,13,0.0740778712296984,0.331147540983607,0.646437054200003
"sp|P54839|ERG13_YEAST",-21.9666964812,-20.7125612216,-21.2630537645,-22.6064303514,-21.2190115503,-22.1860850153,9,13,16,7,11,10,0.152278857308585,0.462809917355372,0.689738483233331
"sp|P54858|DOS2_YEAST",-23.1427734172,NA,-23.1820138833,NA,NA,NA,3,3,2,NA,NA,1,NA,NA,NA
"sp|P54860|UFD2_YEAST",-24.8709329839,-24.7085673611,-23.8615730202,NA,NA,NA,5,3,5,NA,1,NA,NA,NA,NA
"sp|P54861|DNM1_YEAST",-24.3586366425,-23.0499629552,-23.1401941813,NA,NA,NA,1,3,5,1,1,1,NA,NA,NA
"sp|P54885|PROA_YEAST",-21.0432629743,-20.4720596293,-20.5289279166,-21.1601501872,-21.0620894799,-21.529226932,9,10,9,7,8,6,0.124422853828306,0.435308343409915,0.569072026299999
"sp|P54886|P5CS_HUMAN",-20.680761821,-20.8589271377,-20.7335184726,-20.2227262275,-20.6048878409,-20.9944997905,22,14,18,27,21,19,0.634275667053364,0.86899918633035,-0.150364524133334
"sp|P54920|SNAA_HUMAN",-19.9441971045,-20.1542804925,-19.6913483111,-20.4774985215,-20.0388294852,-19.5404425211,14,10,12,8,11,17,0.785205481438515,0.923845623707788,0.0889815399000007
"sp|P54964|ORN_YEAST",NA,-23.3879347152,NA,NA,NA,NA,1,2,1,NA,1,NA,NA,NA,NA
"sp|P55010|IF5_HUMAN",-20.2753168914,-21.0299013876,-21.4163563471,-19.9797685033,-20.7814459469,-19.9151456036,20,14,12,21,19,18,0.127002175174014,0.435866983372922,-0.681738190766666
"sp|P55036|PSMD4_HUMAN",-20.5225553534,-19.9691646506,-19.9738016263,-20.0441856063,-19.8382685499,-19.6033764245,10,14,13,13,13,11,0.332806554524362,0.686662412252712,-0.3265636832
"sp|P55039|DRG2_HUMAN",NA,NA,-22.8625507357,-23.5784692405,NA,-23.3438025602,NA,2,5,2,3,3,NA,NA,NA
"sp|P55060|XPO2_HUMAN",-19.8838638832,-20.5447043263,-20.4705896052,-19.5776403837,-20.0910347265,-19.8080190075,50,35,46,51,49,49,0.196269431554524,0.529569892473118,-0.474154565666666
"sp|P55072|TERA_HUMAN",-18.8366711908,-18.7884015653,-18.6211944129,-18.7349950911,-18.8163434726,-19.0014329521,75,70,70,82,76,68,0.706972302784223,0.89873417721519,0.102168115600001
"sp|P55081|MFAP1_HUMAN",-21.8410187083,-21.1401314476,-21.2887280372,-21.5385546799,-21.7933429322,-21.891036238,6,7,5,7,5,4,0.351601943155452,0.699692307692308,0.317685219000001
"sp|P55084|ECHB_HUMAN",-20.7322314827,-20.2801462422,-20.4876220432,-20.2406468393,-20.3004062195,-21.0316587497,14,15,15,20,15,15,0.925451711136891,0.963691376701967,0.0242373467999997
"sp|P55145|MANF_HUMAN",-22.3111438024,-22.6885413433,-22.1241840261,-21.4770045696,-21.3609210513,-22.067053211,2,3,2,7,5,4,0.0661847447795824,0.3125,-0.739630113300002
"sp|P55196|AFAD_HUMAN",-24.5565834744,-24.2423340343,-23.6134611898,-23.2543112331,-24.2148559564,-24.1444501933,10,14,15,15,14,13,0.493239559164733,0.806057645334636,-0.266253771899997
"sp|P55199|ELL_HUMAN",-24.836818141,-23.0775548641,-24.006338363,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,NA
"sp|P55209|NP1L1_HUMAN",-19.1675742761,-18.9949848251,-18.998027887,-19.0971873951,-18.8340552331,-19.5269255157,20,24,25,26,23,20,0.743583671693736,0.903825527350733,0.0991937185666671
"sp|P55212|CASP6_HUMAN",-22.3894786299,-22.3454617593,-23.5165795424,-21.9232714996,-22.0770052368,-22.1681071772,3,4,3,5,6,3,0.10911252900232,0.405194805194805,-0.694378672666669
"sp|P55263|ADK_HUMAN",-20.329643403,-21.0222016088,-20.6156364057,-20.5170271739,-21.1531973764,-20.7911795149,10,8,12,11,11,9,0.617872244779582,0.859983429991715,0.164640882566669
"sp|P55265|DSRAD_HUMAN",-21.7985535825,-21.3829544205,-21.2133458732,-21.6714746364,-21.1557622294,-21.778942059,21,20,17,19,22,17,0.820177059164733,0.935354881706098,0.0704416828666687
"sp|P55735|SEC13_HUMAN",-20.5974767358,-20.5218205778,-20.7191742142,-20.3159685916,-19.8498003028,-19.9076898187,8,8,7,9,7,9,0.0918242459396752,0.367052023121387,-0.588337604900001
"sp|P55769|NH2L1_HUMAN",-19.5443516556,-18.8948446794,-19.1151858856,-18.9486300052,-19.1080505325,-19.8783504386,7,9,7,11,10,9,0.714736803944315,0.899815837937385,0.126882918566665
"sp|P55786|PSA_HUMAN",-21.1213878898,-22.8781713204,-21.5052475903,-21.8818608949,-21.8654334909,-22.2922724526,27,25,26,24,29,26,0.670002900232019,0.878095975232198,0.178253345966667
"sp|P55795|HNRH2_HUMAN",-21.5858353612,-21.5048784066,-21.1272537833,-21.4533656233,-20.633536388,-20.4976821966,8,5,9,6,9,7,0.170977958236659,0.489320388349515,-0.544461114400001
"sp|P55809|SCOT1_HUMAN",-21.5406523105,-22.1382137002,-21.3858700744,-21.6786032874,-21.6614041635,-21.2835177598,10,11,8,10,6,10,0.652729118329466,0.87519747235387,-0.147070291466669
"sp|P55854|SUMO3_HUMAN",-22.0933270547,NA,NA,-21.3834569919,NA,NA,3,2,2,2,2,2,NA,NA,NA
"sp|P55884|EIF3B_HUMAN",-19.9878344105,-19.5835060197,-20.0912128939,-19.9437720913,-19.4471958715,-19.4674561654,38,32,36,45,39,39,0.418016386310905,0.75177304964539,-0.268043065299999
"sp|P55957|BID_HUMAN",-20.2443540692,-21.1540447741,-20.3382650318,-20.6578604489,-20.4604639057,-20.3858650764,8,5,7,7,9,7,0.81079219837587,0.932391523713421,-0.0774914813666676
"sp|P56134|ATPK_HUMAN",-20.3903900521,-21.0673946137,-20.5629770502,-20.5876147352,-21.1243650166,-20.472828817,4,5,4,6,6,5,0.858439675174014,0.947859671709044,0.054682284266665
"sp|P56181|NDUV3_HUMAN",-21.53318674,NA,-21.0809255071,NA,-21.4885020685,NA,1,NA,1,NA,1,NA,NA,NA,NA
"sp|P56182|RRP1_HUMAN",-21.8914256215,-22.1046229099,-21.5903293239,-22.6338832136,-21.7919662043,-22.1924297668,7,10,10,10,13,9,0.336359773781903,0.688369152970923,0.343967109799998
"sp|P56192|SYMC_HUMAN",-19.7237158275,-19.7234488266,-19.842813548,-19.6945358441,-19.7358215008,-19.5925951525,30,28,32,43,35,36,0.728094257540603,0.902955125866472,-0.0890085682333321
"sp|P56211|ARP19_HUMAN",NA,-20.7851913264,-21.2792731867,NA,-21.0107908532,NA,3,1,2,1,2,2,NA,NA,NA
"sp|P56262|DLHH_ECOLI",NA,NA,NA,NA,NA,-22.0482135176,NA,NA,NA,NA,NA,1,NA,NA,NA
"sp|P56270|MAZ_HUMAN",-24.0745811857,NA,-24.0186727095,NA,-23.7009086961,NA,1,NA,3,NA,2,NA,NA,NA,NA
"sp|P56282|DPOE2_HUMAN",-24.6903242558,NA,NA,-23.3742328213,NA,NA,3,1,1,3,2,2,NA,NA,NA
"sp|P56385|ATP5I_HUMAN",-20.0100361586,-19.7739151309,-20.7341926541,-20.6838080917,-20.5334367606,NA,3,5,3,3,2,2,0.27164994199536,0.62992700729927,0.435907778283333
"sp|P56537|IF6_HUMAN",-19.2505331201,-18.3542454077,-18.7676244061,-18.9252110223,-18.527918932,-18.459675591,12,14,11,16,13,14,0.650438660092807,0.87519747235387,-0.153199129533331
"sp|P56556|NDUA6_HUMAN",-21.4617327474,NA,-20.2579149576,-21.4269316702,-21.4987307637,-20.4055828229,2,NA,3,2,5,5,0.580268851508121,0.850668968493742,0.2505912331
"sp|P56628|RL22B_YEAST",-20.5883960509,-19.9457476733,-20.2184946652,NA,-21.8002336702,NA,2,3,3,1,1,1,NA,NA,NA
"sp|P56645|PER3_HUMAN",NA,-24.130628909,-23.9234565514,NA,-24.234415216,NA,NA,1,1,NA,1,NA,NA,NA,NA
"sp|P57076|CF298_HUMAN",-20.4287489063,-20.9663922799,-20.7780650123,-20.705122029,-20.6793938252,-20.7130795135,5,4,4,6,4,4,0.915034947795824,0.959414098260604,-0.0252036102666686
"sp|P57081|WDR4_HUMAN",-22.7209430769,-23.1110745054,-22.4541888218,-21.5682777161,-22.2863593742,-22.9962383143,5,3,5,7,3,6,0.260765081206496,0.612781954887218,-0.478443666499999
"sp|P57088|TMM33_HUMAN",NA,-22.4795261288,NA,NA,NA,NA,1,2,1,1,1,NA,NA,NA,NA
"sp|P57678|GEMI4_HUMAN",-23.6404969099,-22.8890541495,-22.5925982806,-22.5799216593,-22.2384646776,-23.7003554576,10,12,14,13,13,12,0.628864704176334,0.868852459016393,-0.201135848500002
"sp|P57721|PCBP3_HUMAN",-23.0599890105,-23.2086810678,-22.8236004766,-23.2917809728,-22.2699275101,NA,13,13,15,20,15,19,0.51567024361949,0.819299905392621,-0.249902610183334
"sp|P57737|CORO7_HUMAN",-22.6869958991,-22.7089275014,-22.0664480151,-21.6005293231,-21.9520860565,-22.1796631151,8,8,10,13,10,6,0.13256714037123,0.439497716894977,-0.576697640300001
"sp|P57740|NU107_HUMAN",-21.7403854267,-22.120019135,-22.2943554985,-21.9227140955,-22.098237919,-22.266762912,11,13,10,13,14,12,0.871794808584687,0.949889694295619,0.044318288766668
"sp|P57772|SELB_HUMAN",NA,NA,NA,-24.1482244877,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"sp|P58004|SESN2_HUMAN",NA,-23.9064185489,NA,-23.9635472088,NA,-23.6821503874,1,2,NA,3,1,2,NA,NA,NA
"sp|P58107|EPIPL_HUMAN",-23.5298162416,-24.4806168902,-24.9255721098,-23.9528524746,-24.8698368645,-23.5375307758,22,17,18,25,20,23,0.651535237819026,0.87519747235387,-0.191928375566665
"sp|P58546|MTPN_HUMAN",-18.973821667,-18.9569157723,-17.9935372478,-18.3698925692,-18.2538776635,-18.6622704197,5,7,10,8,8,9,0.554837732018561,0.841539838854073,-0.212744678233332
"sp|P59998|ARPC4_HUMAN",-21.3071868107,-22.1612670956,-22.0545370022,-20.7192414534,-21.9092415529,-22.0558565765,6,4,5,5,4,5,0.502650087006961,0.81431334622824,-0.279550441900003
"sp|P60002|ELOF1_HUMAN",NA,-20.4408229209,NA,-20.5178122701,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
"sp|P60010|ACT_YEAST",-17.769481363,-17.9387148151,-18.125822151,-18.708146664,-18.7956216312,-18.9248334447,189,164,160,172,146,145,0.0234624419953596,0.166666666666667,0.864861136933335
"sp|P60033|CD81_HUMAN",-22.410553201,-21.2458502229,NA,-22.1094169103,-20.6984074742,-20.4137281768,1,2,NA,2,3,3,0.184051914153132,0.517625231910946,-0.754350858183336
"sp|P60174|TPIS_HUMAN",-17.413129668,-17.4132387903,-17.3444212175,-17.2970469442,-17.1782612323,-17.1195770667,52,45,46,53,58,53,0.477975493039443,0.795114656031904,-0.191968144199997
"sp|P60228|EIF3E_HUMAN",-20.6563313269,-20.4108001538,-21.1350652755,-20.4791287193,-20.1329164685,-20.6323776248,18,17,17,22,19,11,0.360045678654292,0.705703883495146,-0.3192579812
"sp|P60422|RL2_ECOLI",-23.677851911,NA,NA,-21.0539675349,-22.0672983263,-21.2920194168,3,2,1,11,8,10,NA,NA,NA
"sp|P60438|RL3_ECOLI",NA,-21.7349862705,-23.0913678196,-20.5203026999,-20.8288825635,-20.6191863337,1,3,3,5,6,6,0.00676102088167053,0.0699300699300699,-1.75705317935
"sp|P60510|PP4C_HUMAN",-21.9480030174,-21.7292498826,-20.4872638198,-20.4980765092,-19.9863876298,-20.4394621669,5,4,6,5,7,7,0.0356946055684455,0.218274111675127,-1.08019680463333
"sp|P60520|GBRL2_HUMAN",-21.634108587,-20.397424791,-21.5293057445,-21.5659597887,-21.6412564623,-22.3425513084,2,4,3,3,2,3,0.143075116009281,0.455128205128205,0.662976145633333
"sp|P60604|UB2G2_HUMAN",-20.5693748993,-20.9321441512,-20.8143355352,-20.4728407815,-20.4652827029,-20.9921489885,3,3,2,5,3,5,0.67534222737819,0.880787037037037,-0.128527370933334
"sp|P60624|RL24_ECOLI",-21.2495146137,NA,NA,-19.6641712778,-20.540024787,-19.0839410524,1,1,2,6,8,7,NA,NA,NA
"sp|P60660|MYL6_HUMAN",-21.0837943976,-21.9266185092,-21.147568184,-21.0701124719,-21.8086920881,-21.7674154334,8,8,10,10,12,8,0.65017343387471,0.87519747235387,0.162746300866665
"sp|P60842|IF4A1_HUMAN",-18.7692387846,-18.9526909713,-19.0167369789,-18.5218715662,-18.6472113492,-18.437634745,57,51,55,72,57,56,0.217140951276102,0.558798999165972,-0.377316358133331
"sp|P60866|RS20_HUMAN",-19.0467309433,-19.9332120794,-19.9804850358,-20.0329398957,-19.4876937989,-19.2817076921,5,5,6,8,4,5,0.872466502320186,0.949889694295619,-0.0526955572666665
"sp|P60891|PRPS1_HUMAN",-22.4097337481,-22.1126997734,-21.6852119245,-21.0168671144,-21.8210788797,NA,13,12,13,16,10,11,0.133388341067285,0.439772727272727,-0.650242151616666
"sp|P60900|PSA6_HUMAN",-19.0924831456,-18.7561751596,-19.307673332,-19.1545200175,-18.8865811404,-19.2722624984,19,20,20,23,19,19,0.853112819025522,0.946365105008078,0.0523440063666669
"sp|P60953|CDC42_HUMAN",-20.8163506442,-20.6219233359,-21.2835464333,-20.5412894618,-20.6880230054,-19.91469538,8,8,6,10,8,7,0.176238109048724,0.502383222116301,-0.525937522066666
"sp|P60981|DEST_HUMAN",-20.7549661718,-20.4262111375,-20.7252875821,-20.6401760903,-21.1826305873,-20.3726442556,5,6,7,8,6,9,0.760369634570766,0.908482928546287,0.0963286805999992
"sp|P61006|RAB8A_HUMAN",NA,NA,NA,NA,NA,-22.5758850656,8,7,8,9,9,9,NA,NA,NA
"sp|P61009|SPCS3_HUMAN",NA,NA,-22.2995205719,-22.5531129021,-22.3775877709,NA,1,3,3,3,3,1,NA,NA,NA
"sp|P61011|SRP54_HUMAN",-21.1245107918,-22.1125772972,-21.9315582832,-21.3427167574,-20.9933660604,-21.4718823865,10,6,9,12,14,12,0.241431989559165,0.582148499210111,-0.453560389300002
"sp|P61019|RAB2A_HUMAN",-21.5221590306,-22.4278324594,-22.383044451,-22.7909778535,-22.3817106906,-21.1663793351,6,7,5,8,8,10,0.978283207656612,0.977951842181607,0.00201064606666534
"sp|P61020|RAB5B_HUMAN",NA,NA,NA,-22.6896202992,NA,NA,2,NA,2,3,2,NA,NA,NA,NA
"sp|P61024|CKS1_HUMAN",-20.001691552,NA,-19.9343387297,-20.6320184917,-21.4900884655,-20.3737591066,4,2,3,3,3,3,0.0642531902552204,0.305944055944056,0.863940213750002
"sp|P61026|RAB10_HUMAN",-21.6137504824,-20.9676399995,-22.6346898581,-21.2763035781,-21.9082296953,-20.7826199273,9,10,9,10,8,10,0.36509063225058,0.709211318482842,-0.416309046433334
"sp|P61081|UBC12_HUMAN",-20.8294640735,-19.9424875004,-19.8646125668,-20.3413748655,-19.9144984656,-20.8141675555,8,11,9,11,11,9,0.694347882830626,0.894238059135709,0.144492248633334
"sp|P61086|UBE2K_HUMAN",-19.9801881528,-20.718590211,-21.2783250106,-19.9916732467,-20.1908188041,-20.4785576731,8,8,6,12,8,9,0.278644576566125,0.634129213483146,-0.438684550166666
"sp|P61088|UBE2N_HUMAN",-19.5995764096,-18.9532372384,-19.5306650275,-18.8890704299,-18.9762074701,-18.9475513826,13,12,12,16,13,17,0.21977189675174,0.558798999165972,-0.423549797633331
"sp|P61106|RAB14_HUMAN",-19.7939092022,-20.5087015932,-21.306622325,-19.52362962,-20.5435671879,-20.089522459,12,7,7,12,10,10,0.280294228538283,0.634129213483146,-0.4841712845
